Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,2.2uF,C12530
"C10, C11",0402,2,4.7uF,C23733
C12,0603,1,10uF,C95839
"C13, C16, C17, C5, C6, C7, C9",0402,7,100nF,C1525
"C14, C15, C8",0805,3,22uF,C87997
"D1, D2, D3",0402,3,6V TVS,C316043
D4,0402,1,LED,C131223
D5,D_SOD-123,1,D_Schottky,C64885
DS1,FPC-30P-0.5mm,1,FPC 0.5mm 30P,C2856808
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C165948
L1,L_Abracon_ASPI-4030S,1,3.3uH,C2050508
"P1, P2",CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,2,JST CONN,C3029440
Q1,SOT-23,1,NMOS,C443825
"R1, R3, R6",0402,3,4.7k,C317921
R10,0402,1,2k,C2902640
R11,0402,1,300,C852712
R12,0402,1,1.1k,C445597
R13,0402,1,31.6k,C782222
"R14, R15, R16, R7, R8",0402,5,10k,C190095
"R2, R4",0402,2,5.1k,C490833
R5,0603,1,390k,C861364
R9,0402,1,470,C852799
"SW1, SW2, SW4",SW-SMD_L3.9-W3.0-P4.45,3,Button,C720477
SW3,SW-SMD_6P-YTSPS-22E58LM,1,YTSPS-22E58LM,C2941005
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,C5736265
U2,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,1,MCP73831-5-OT,C635037
U3,SOT-563,1,AP62300Z6,C5250745
U4,X2SON4_DMR_TEX,1,TMAG5253,C22445458 
