Designator,Mid X,Mid Y,Rotation,Layer
C1,141.3,-105.0,90.0,top
C2,143.1,-101.8,0.0,top
C3,144.9,-101.4,90.0,top
C4,143.4,-96.7,90.0,top
C5,145.0,-95.9,90.0,top
D1,153.2,-110.61,180.0,top
D2,147.5,-111.51,0.0,top
D3,150.8,-110.61,0.0,top
D4,137.9,-117.2,180.0,top
D5,136.6,-105.2,90.0,top
FLASH,161.8,-109.5,270.0,top
J1,152.0,-117.6,0.0,top
J2,130.889,-101.2,90.0,top
J3,130.889,-113.85,90.0,top
R5,154.9,-111.06,90.0,top
R6,149.1,-111.06,90.0,top
R7,143.1,-100.8,0.0,top
R8,155.6,-107.3,90.0,top
RESET,158.3,-109.5,270.0,top
U1,137.2,-101.2,270.0,top
U2,143.6,-107.9,0.0,top
U3,143.6,-104.4,270.0,top
U4,152.4,-100.4,0.0,top
U5,139.87,-113.65,90.0,top
