Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,2.2uF,C338067
"C3, C5",0402,2,100nF,C22435938
C4,0805,1,22uF,C380337
"D1, D2, D3, D4, D5",0402,5,15V TVS,C316043
"FLASH, RESET",SW-SMD_L3.9-W3.0-P4.45,2,Button,C720477
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,CONN-SMD_PH2.0-4PWB,1,UART/I2C,C50137
J3,CONN-SMD_PH2.0-4PWB,1,TWAI,C50137
"R5, R6",0402,2,5.1k,C852861
"R7, R8",0402,2,10k,C190095
U1,VSSOP-8_2.3x2mm_P0.5mm,1,TXS0102DCU,C53434
U2,SOT-583-8,1,LM66200,C3235556
U3,SOT-23-5,1,SE5218ALG-LF,C118233
U4,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1,C5736265
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TCAN330DR,C2652876
