Designator,Mid X,Mid Y,Rotation,Layer
C1,132.0,-69.99,90.0,top
C10,128.9,-110.4,180.0,top
C11,128.88,-109.4,180.0,top
C12,116.2,-104.1,270.0,top
C13,121.5,-104.5,180.0,top
C14,116.0,-107.3,90.0,top
C15,114.0,-107.3,90.0,top
C16,128.25,-36.25,225.0,top
C17,137.05,-86.385,90.0,top
C2,130.75,-69.99,90.0,top
C3,117.98,-70.74,0.0,top
C4,119.98,-70.74,0.0,top
C5,134.0,-114.83,270.0,bottom
C6,132.0,-114.83,270.0,bottom
C7,133.0,-114.83,270.0,bottom
C8,137.1,-116.0,270.0,bottom
C9,135.5,-114.83,270.0,bottom
D1,130.715,-115.676295,180.0,top
D2,133.9,-114.926295,270.0,top
D3,128.515,-115.676295,0.0,top
D4,132.635,-107.5,0.0,top
D5,117.485,-114.0,0.0,top
DS1,125.002844,-74.674494,0.0,top
J1,129.65,-121.176295,0.0,top
L1,119.3,-107.3,180.0,top
P1,119.6,-84.2,270.0,top
P2,118.4,-119.8,270.0,top
Q1,121.985,-113.5,0.0,top
R1,124.25,-70.24,270.0,top
R10,134.235,-111.25,270.0,top
R11,125.8,-83.6,180.0,top
R12,125.8,-84.7,0.0,top
R13,121.5,-103.5,180.0,top
R14,119.6,-102.6,180.0,top
R15,134.55,-86.385,90.0,top
R16,135.8,-86.36,270.0,top
R2,132.65,-114.926295,90.0,top
R3,126.0,-70.24,270.0,top
R4,126.65,-114.926295,90.0,top
R5,129.25,-69.74,90.0,top
R6,127.25,-70.24,270.0,top
R7,126.2,-106.7,270.0,top
R8,131.0,-114.85,90.0,bottom
R9,131.1,-107.0,90.0,top
SW1,126.9,-91.1,0.0,top
SW2,126.8,-95.8,0.0,top
SW3,134.2,-94.8,90.0,top
SW4,135.8,-82.385,90.0,top
U1,133.15,-107.0,90.0,bottom
U2,131.985,-109.8,270.0,top
U3,119.3,-104.1,0.0,top
U4,130.0,-38.0,315.0,top
